Identifier,TE_FC,TE_padj,RIBO_FC,RIBO_padj,RNA_FC,RNA_padj,RegMode,RegModeExplicit
4087,0.134615852769364,0.870037127048549,-0.0432754784794797,0.882701008214416,-0.138095222296366,0.501248228836235,No Change,No significant change detected in transcription or translation
4088,-0.0835417341360638,0.936708240050455,-1.31192305246777,3.18959189702214E-10,-1.2333093106428,6.36430419753637E-11,Forwarded,"(Down)regulated, driven by mRNA transcription only"
4089,-0.0223240326474822,0.970592441973056,-0.0223136475076115,0.942564846469562,-0.0116587998423891,0.974753082056626,No Change,No significant change detected in transcription or translation
4090,0.672280256625609,0.144237213101699,0.143807894552956,0.517235773974882,-0.347816459808268,0.068723833051879,No Change,No significant change detected in transcription or translation
4091,-0.718735286557249,0.658043908199843,0.10714158358173,0.580045531408915,0.790380938006933,0.0487997708739134,Undetermined,Cannot be assigned to any Regulatory Mode
4092,-0.0443945791885826,0.959864854432368,1.09794242504802,8.2028865356702E-08,1.1568229124118,1.06805760178357E-16,Forwarded,"(Up)regulated, driven by mRNA transcription only"
4093,0.0505914079097039,NA,0.0316184338568257,0.88036878956218,0.0377038233263375,0.870563068115366,Undeterminable,One or more adjusted p-values are missing (NA)
4609,-0.164516819143155,0.88890126465959,-0.120879237636173,0.614379166813377,-0.0412499457165603,0.888600890876962,No Change,No significant change detected in transcription or translation
4681,-0.054947802888863,0.984505177750465,0.0866676048396804,0.713774445694621,0.0877087687243411,0.691565202185305,No Change,No significant change detected in transcription or translation
4756,-0.492154454230523,0.633609372713932,-0.0556812177517295,0.840683133599961,0.119525401358477,0.559363086642318,No Change,No significant change detected in transcription or translation
4838,0.162342574256432,NA,NA,NA,-0.0061910851079498,NA,Undeterminable,One or more adjusted p-values are missing (NA)
5308,-0.0590460158881865,0.990313361590034,0.103061220896816,0.471266737533537,0.146168625693632,0.344263214959824,No Change,No significant change detected in transcription or translation
5515,0.0787155972409912,0.827213837510918,0.0513585024587613,0.797250947734453,-0.0118461890663081,0.963279185678489,No Change,No significant change detected in transcription or translation
5516,-0.299347559168547,0.534321563798244,-0.253217459137828,0.237318169878756,-0.054702421679454,0.804801467596029,No Change,No significant change detected in transcription or translation
5518,-0.46189416995044,0.648952098268808,-0.139555355937763,0.532985451921179,0.0501043810639154,0.862117055589446,No Change,No significant change detected in transcription or translation
5519,0.243069322858115,0.740260246427331,-0.146382040836397,0.490786163962384,-0.324509766538789,0.135953210604661,No Change,No significant change detected in transcription or translation
5594,0.436582238381242,0.0647857312021712,0.0884614435347636,0.675346126275883,-0.290454438488495,0.00402586530162368,Undetermined,Cannot be assigned to any Regulatory Mode
5595,-0.303840074018559,0.661095928623398,-0.217970083145357,0.333188778897453,-0.0401258199239311,0.888600890876962,No Change,No significant change detected in transcription or translation
56963,1.93525122937837,NA,0.0179854254573861,0.824746796752705,-0.158115633520662,0.222573411415754,Undeterminable,One or more adjusted p-values are missing (NA)
57154,0.0537673083842422,0.945069074912312,0.346326018891509,0.0761897872113023,0.32293359539233,0.0457849921026948,Undetermined,Cannot be assigned to any Regulatory Mode
57817,NA,NA,NA,NA,NA,NA,Undeterminable,One or more adjusted p-values are missing (NA)
5933,0.0156627408812855,NA,-0.0572209388096944,0.803731071359846,-0.1242249492345,0.59835954831425,Undeterminable,One or more adjusted p-values are missing (NA)
60436,0.163812558568579,0.937427028435462,0.0614053520943482,0.760925269934344,0.0530724393363921,0.843914875899862,No Change,No significant change detected in transcription or translation
6093,0.159330688868759,0.809562850416586,0.0781990918513383,0.760292462624382,-0.0204171220638199,0.944986777990247,No Change,No significant change detected in transcription or translation
6198,0.398576584515657,0.476226112609605,0.0831694673910063,0.744830221185267,-0.174031810855671,0.310868653976692,No Change,No significant change detected in transcription or translation
6199,-0.134765220506999,0.899982472471217,-0.0557255146675774,0.83675955840057,-0.00870393907447295,0.980831304067046,No Change,No significant change detected in transcription or translation
64388,0.297314930380416,NA,0.0494488482548873,0.684399500388101,0.0276289313221548,0.847539886512398,Undeterminable,One or more adjusted p-values are missing (NA)
64750,-0.0786603817606735,0.904719777610083,-0.668910071030471,0.000120070424048962,-0.627916708468864,3.03200395335215E-07,Forwarded,"(Down)regulated, driven by mRNA transcription only"
6497,-0.777793331081742,0.354681216614741,-0.11983336964226,0.607179636078416,0.25527664532424,0.27346415490642,No Change,No significant change detected in transcription or translation
6498,0.503556227733655,0.594832838794592,1.4644589635901,7.01979256645223E-06,1.00581708602292,8.56016459052223E-07,Forwarded,"(Up)regulated, driven by mRNA transcription only"
650,-0.591866770656178,NA,-0.00759109347245146,0.963014447903779,0.0493631079973279,0.75546953996852,Undeterminable,One or more adjusted p-values are missing (NA)
6500,0.346663016497565,0.378016747901778,0.134956027644941,0.512564869203036,-0.118961290821403,0.557294012812058,No Change,No significant change detected in transcription or translation
652,-0.178059071160129,0.816170805706082,-1.02011094002487,7.01979256645223E-06,-0.888072128630286,7.16406621737732E-13,Forwarded,"(Down)regulated, driven by mRNA transcription only"
653,NA,NA,NA,NA,NA,NA,Undeterminable,One or more adjusted p-values are missing (NA)
654,-0.575772582027172,0.398398158674774,0.392211021271327,0.120637741429163,1.09308706971102,1.54341951135084E-07,Undetermined,Cannot be assigned to any Regulatory Mode
655,NA,NA,NA,NA,NA,NA,Undeterminable,One or more adjusted p-values are missing (NA)
656,1.62850554072511,NA,0.00618016561887601,NA,-0.00287776933654098,NA,Undeterminable,One or more adjusted p-values are missing (NA)
657,0.421142826939908,0.596057714622875,0.0731057195141897,0.758566881786513,-0.121130438172893,0.599181000994319,No Change,No significant change detected in transcription or translation
658,0.412807258384314,NA,-0.00905231946034056,0.946811189627008,-0.0454845239816991,0.719258177862173,Undeterminable,One or more adjusted p-values are missing (NA)
659,0.186819894602272,0.678264561137325,0.283511400364899,0.124631966086346,0.135683786613753,0.416759574684321,No Change,No significant change detected in transcription or translation
6667,0.260059954721519,0.5102003785352,0.0765346998834041,0.761694828904008,-0.113714645980025,0.473536545617845,No Change,No significant change detected in transcription or translation
7018,2.1981705879058,NA,0.0367861006315185,0.401749885607166,0.115814095490801,0.59305696314231,Undeterminable,One or more adjusted p-values are missing (NA)
7027,0.364600758543115,0.443981642727493,0.122527177237252,0.60459354553169,-0.0840112330710093,0.695832170291528,No Change,No significant change detected in transcription or translation
7036,-0.0873861255951226,NA,-0.00492307960368267,NA,-0.0238332775626777,0.869118582862396,Undeterminable,One or more adjusted p-values are missing (NA)
7037,0.267580559713014,0.698643897646728,-0.133024399369282,0.567784529830293,-0.402776577498201,0.0364228636981198,Undetermined,Cannot be assigned to any Regulatory Mode
7040,-0.263992628954485,0.7785632307648,0.410993027860466,0.0323101246083656,0.611722504160445,0.0202403580638388,Forwarded,"(Up)regulated, driven by mRNA transcription only"
7042,-0.0962370545415334,0.966186014117394,-0.327801915149069,0.204771709581275,-0.163810578625451,0.409249583690225,No Change,No significant change detected in transcription or translation
7043,-1.11093768843318,NA,-0.308262936128726,0.0759009387496888,-0.0933483378607357,0.622601072615105,Undeterminable,One or more adjusted p-values are missing (NA)
7044,-0.39500144555371,NA,0.0609810154235056,0.0855505140502226,2.89805565222581,0.0298843143305415,Undeterminable,One or more adjusted p-values are missing (NA)
7046,0.569542186965605,0.148633595486086,-0.0491631594683727,0.85892658334463,-0.604003492781581,7.06998056012625E-05,Undetermined,Cannot be assigned to any Regulatory Mode
7048,0.0471335861511588,0.989775621940923,-0.116095689236298,0.526790658965937,-0.206248805056449,0.328129910445026,No Change,No significant change detected in transcription or translation
7050,-0.17923185060949,0.860245929718641,0.173554792997127,0.450059611468454,0.419957646717528,0.0411977233553047,Undetermined,Cannot be assigned to any Regulatory Mode
7057,-0.693776589447757,0.526447386571077,-0.272100381839737,0.26231627752302,0.0506419648968332,0.842669251033953,No Change,No significant change detected in transcription or translation
7124,-1.28025112936438,NA,NA,NA,0.00654293336081028,NA,Undeterminable,One or more adjusted p-values are missing (NA)
7124,-1.28025112936438,NA,NA,NA,0.00654293336081028,NA,Undeterminable,One or more adjusted p-values are missing (NA)
7124,-1.28025112936438,NA,NA,NA,0.00654293336081028,NA,Undeterminable,One or more adjusted p-values are missing (NA)
7124,-1.28025112936438,NA,NA,NA,0.00654293336081028,NA,Undeterminable,One or more adjusted p-values are missing (NA)
7124,-1.28025112936438,NA,NA,NA,0.00654293336081028,NA,Undeterminable,One or more adjusted p-values are missing (NA)
7124,-1.28025112936438,NA,NA,NA,0.00654293336081028,NA,Undeterminable,One or more adjusted p-values are missing (NA)
7124,-1.28025112936438,NA,NA,NA,0.00654293336081028,NA,Undeterminable,One or more adjusted p-values are missing (NA)
7124,-1.28025112936438,NA,NA,NA,0.00654293336081028,NA,Undeterminable,One or more adjusted p-values are missing (NA)
79639,-0.211589661270302,0.79986211129672,-0.340278894219944,0.180917797571257,-0.244366259188012,0.215173256731861,No Change,No significant change detected in transcription or translation
79875,-0.781696159717075,NA,-1.60718270294812,0.0135895582414593,-0.529215209863758,0.0945337403594055,Undeterminable,One or more adjusted p-values are missing (NA)
8200,-0.118568011828154,NA,-0.0728114343108491,0.06263337300887,-0.230121082833871,0.00312081220279711,Undeterminable,One or more adjusted p-values are missing (NA)
83729,-0.228117659123225,0.974182424754853,0.0551630943270193,0.370071818842846,0.0708983324482341,0.242529374568828,No Change,No significant change detected in transcription or translation
8454,0.0149048468968201,0.985769909223652,0.121053517734544,0.561859704886407,0.126263394568479,0.385054123585797,No Change,No significant change detected in transcription or translation
8646,1.27232343244981,NA,0.0273571299531659,NA,0.057461136330786,0.579946735821776,Undeterminable,One or more adjusted p-values are missing (NA)
90,-0.473722308273429,0.211446054077188,-0.0518371844049164,0.840536697395006,0.323462145478107,0.0663527928299766,No Change,No significant change detected in transcription or translation
91,0.0368244379897387,0.981059361494631,-0.125665753305887,0.584249298279967,-0.218240222626323,0.297625240895982,No Change,No significant change detected in transcription or translation
92,-0.238178067104286,0.850359484805026,0.10181124036802,0.672630578134623,0.280545996973819,0.226429479997861,No Change,No significant change detected in transcription or translation
9241,-1.20524669393076,NA,-0.0505845681985374,0.374174151968838,-0.021754726071037,0.796156582056883,Undeterminable,One or more adjusted p-values are missing (NA)
93,0.745309701220891,NA,0.00328480598678701,NA,-0.0914332095437214,0.549065089270873,Undeterminable,One or more adjusted p-values are missing (NA)
9372,0.0248341117811131,0.987574237535053,-0.0725812021010772,0.781402116709929,-0.0981670629127287,0.685850906635905,No Change,No significant change detected in transcription or translation
9611,-0.21198713238806,0.683172670860896,-0.128684284688912,0.568566532235158,0.000720055559634336,0.997683428269654,No Change,No significant change detected in transcription or translation
9765,0.279151321128338,0.817844703098937,0.0764321363461014,0.759022834666443,-0.0335173445217361,0.916695584107951,No Change,No significant change detected in transcription or translation
9978,0.00648572891475248,0.99620767707523,0.061540821689455,0.791492131423691,0.04782150571221,0.862150944053791,No Change,No significant change detected in transcription or translation
